BridgeLoc, leg count, bounding angle, ntn length, wire_width, nStiffness
47,4.0,41.00372081006123,0.9851802118566266,0.025292632199074554,2.6477159570590673e-05
48,6.0,33.35706554071245,0.9000000125436279,0.02779406402724044,5.631250062734584e-05
49,6.0,33.15037687810312,1.0179789903969534,0.028681276531802993,5.503148961954863e-05
50,6.0,34.388829454159946,0.9684233815199568,0.018953528588939263,1.5332925635668366e-05
51,4.0,42.29961743422164,0.9960288218038744,0.019464145450774687,1.0939268800916262e-05
52,6.0,32.457328057477156,0.900000009923972,0.02979228167900906,7.543381237226151e-05
53,6.0,31.880216023131474,0.9851802118566266,0.03,7.384099260304141e-05
54,6.0,38.90431607335984,0.9489217628180815,0.016434235926293544,6.87791985666201e-06
55,6.0,33.09896124529012,0.9601358259327102,0.018465773613451534,1.6310769697174108e-05
56,6.0,32.92122629441869,0.9556440559449991,0.02181764306869167,2.7075305510859392e-05
57,6.0,32.39678011767413,1.018152140911624,0.021514232840445575,2.5532359356626747e-05
58,6.0,33.28888126249129,0.9000000012220618,0.022729337266331546,3.1432770204066615e-05
59,6.0,30.504162703181418,0.9736178974315682,0.03,8.548948715001777e-05
60,4.0,35.83059444574561,0.9409024802414234,0.03,7.622879305513364e-05
61,4.0,40.65773372582922,0.9024706584634293,0.024211475464583944,2.6088417705646098e-05
62,6.0,39.440745695845365,0.9489217628180815,0.012338008791009313,2.944412160496923e-06
63,4.0,35.97124477478901,0.9601358259327102,0.03,7.367939792287177e-05
64,6.0,31.92874159328049,0.9556440559449991,0.027691459395410154,6.001131924454761e-05
65,6.0,31.727359310711954,1.018152140911624,0.02796219276242894,5.878114428751999e-05
66,6.0,34.98221652980412,0.9000000012220618,0.012046374870672278,4.343049770365071e-06
67,4.0,30.00000034609834,0.9736178974315682,0.028319557286152604,0.00010729428778609123
68,4.0,30.389669489141873,0.9409024802414234,0.027685518826794306,0.00010000547081910109
69,6.0,34.69619135307789,0.9024706584634293,0.010008353775548554,2.6974551402812754e-06
70,4.0,33.767690368078746,0.9489217628180815,0.03,9.241249355198473e-05
71,6.0,37.08678119143462,0.9601358259327102,0.01811891708387212,1.0498063141636681e-05
72,6.0,33.916171041656604,0.9556440559449991,0.01948599127811188,1.7666898906406426e-05
73,6.0,31.118607143098423,1.018152140911624,0.02956974588861661,7.356638125588089e-05
74,6.0,30.00000000938517,0.9000000012220618,0.03,9.728357734033514e-05
75,6.0,33.50138697337605,0.9736178974315682,0.01,2.7833415173844236e-06
76,6.0,35.40697292012665,0.9409024802414234,0.019400599723445527,1.5327293216186988e-05
77,4.0,34.38043091851439,0.9024706584634293,0.027992840518625512,7.45720304864253e-05
78,4.0,41.61485889316731,0.9489217628180815,0.024148829927093413,2.257479112481574e-05
79,6.0,34.67518287248427,0.9601358259327102,0.017986445240751107,1.2937145357324894e-05
80,4.0,34.456682952081074,0.9556440559449991,0.03,8.59063619665706e-05
81,4.0,44.99999992596192,1.018152140911624,0.010479827283255397,1.6115392707340793e-06
82,6.0,37.78611549320169,0.9000000012220618,0.011548699371889123,2.9637579217494328e-06
83,4.0,31.96112817765426,0.9736178974315682,0.02750366401018309,8.268093040668693e-05
84,6.0,35.392583378150185,0.9409024802414234,0.016570422768618573,9.744355482162441e-06
85,6.0,32.86117933060929,0.9024706584634293,0.02769306126554241,5.830994411020994e-05
86,6.0,31.455360383493673,0.9489217628180815,0.02995678166900458,7.982522704435306e-05
87,6.0,35.01905067413057,0.9601358259327102,0.022547222500353115,2.410040136279879e-05
88,6.0,39.762354410822326,0.9556440559449991,0.012336183891006835,2.8605274532517983e-06
89,4.0,30.9217595637127,1.018152140911624,0.03,0.00011260028816419507
90,6.0,31.84905839596733,0.9000000012220618,0.028647873998746548,7.128743618609459e-05
91,4.0,41.59434894313985,0.9736178974315682,0.025123067153608004,2.4855597487542672e-05
92,6.0,35.77205081758013,0.9409024802414234,0.01713522860297686,1.0339963491329174e-05
93,4.0,30.0,0.9024706584634293,0.02851554282202582,0.00011691101346141343
94,6.0,40.20185102149492,0.9489217628180815,0.01,1.5824827651388352e-06
95,4.0,30.002226750696437,0.9601358259327102,0.028400552403556455,0.00010951276815948974
96,4.0,30.000000587463916,0.9556440559449991,0.028370787017332148,0.0001096448740453888
97,6.0,34.26201764572888,1.018152140911624,0.019452339095920763,1.584249926035695e-05
98,6.0,32.11822499880029,0.9000000012220618,0.028937034081212787,7.154404499874462e-05
99,6.0,30.939826698580987,0.9736178974315682,0.02835309703090093,6.941431220338918e-05
100,6.0,30.445809689015835,0.9409024802414234,0.03,8.912485237195834e-05
101,6.0,36.18673256898551,0.9024706584634293,0.020601491370107278,1.7723180974208912e-05
102,4.0,36.1361188655354,0.9489217628180815,0.03,7.332772686250107e-05
103,6.0,32.59644845067759,0.9601358259327102,0.029549551999348934,6.769650191317199e-05
104,6.0,30.960515846645386,0.9556440559449991,0.03,8.345953299312703e-05
105,6.0,32.373845338048646,1.018152140911624,0.027769101162117255,5.403167847585389e-05
106,6.0,32.84116952919783,0.9000000012220618,0.02615141539751296,4.9519729384346626e-05
107,6.0,33.35547696271588,0.9736178974315682,0.028225911459601443,5.4032792613732007e-05
108,6.0,33.05393419709751,0.9409024802414234,0.026013179755723457,4.5479658565897626e-05
109,6.0,35.47593819464925,0.9024706584634293,0.020370314316889668,1.837352151988724e-05
